20,8,-20,-6,23,-30,32,25,-22,46,1,-33,19,17,-30,23,10,-35,40,-24
54,-7,-5,-38,-4,-28,38,14,-25,30,5,-49,-29,-6,-43,13,0,-30,31,-34
54,-10,-15,-49,-35,-34,33,4,-29,22,36,-56,-56,-33,-44,23,4,-17,0,-9
25,4,-37,-13,-31,-41,22,1,-33,27,58,-37,-24,-43,-43,41,8,6,-19,17
10,20,-32,17,1,-26,25,0,-18,39,55,-9,26,-29,-34,44,-8,19,-9,9
13,29,1,10,15,-8,47,-4,9,52,41,4,48,5,0,47,-25,-7,-5,-11
6,8,21,-1,-2,-8,56,1,15,60,27,5,41,32,35,62,-26,-45,-31,-22
-6,-47,3,9,-21,-7,36,6,-4,55,7,2,31,19,33,57,-11,-36,-80,-28
-15,-92,-37,12,-26,10,-5,-17,-34,22,-25,-15,14,-25,1,10,-1,-4,-118,-46
-42,-103,-74,-25,-40,1,-60,-68,-71,-47,-62,-55,-32,-66,-37,-57,-30,-21,-122,-85
-94,-116,-109,-88,-92,-63,-112,-113,-109,-121,-95,-109,-95,-100,-87,-116,-93,-91,-122,-120
-126,-142,-125,-124,-161,-127,-126,-133,-144,-159,-130,-132,-124,-126,-133,-160,-130,-137,-135,-129
-111,-134,-102,-107,-179,-104,-95,-129,-176,-140,-169,-86,-106,-127,-147,-167,-103,-105,-136,-117
-94,-72,-61,-53,-124,-18,-59,-102,-195,-88,-189,-11,-68,-106,-126,-134,-45,-38,-104,-89
-104,-6,-27,-4,-45,24,-36,-56,-178,-48,-172,24,-26,-84,-86,-90,-6,-6,-51,-38
-88,8,-5,14,0,2,-15,-28,-131,-30,-136,20,-4,-75,-51,-72,5,-9,-4,5
-26,-32,-7,18,9,-23,6,-27,-92,-13,-94,20,-18,-67,-29,-77,3,-13,11,8
10,-68,-38,32,8,-16,5,-27,-64,12,-47,39,-29,-44,-23,-66,-8,-17,-8,-2
-23,-51,-53,43,7,21,-22,-11,-33,17,-10,59,-14,-24,-34,-23,-15,-38,-29,6
-62,-5,-25,29,7,52,-39,15,-6,-12,7,50,5,-30,-43,22,-3,-66,-14,35
-67,16,5,9,6,44,-36,35,12,-38,10,10,14,-31,-31,31,16,-70,29,73
-61,5,-2,13,-9,14,-35,34,26,-22,20,-21,21,12,-14,6,15,-46,54,95
-59,-7,-28,31,-28,-22,-38,22,28,13,47,-21,21,67,-6,-19,-6,-28,62,97
-51,-11,-30,41,-22,-60,-38,24,26,36,64,-1,18,79,1,-23,-24,-39,69,103
-30,-20,0,34,3,-77,-32,48,43,51,59,25,24,49,11,-3,-19,-62,71,115
-4,-36,30,13,21,-48,-21,63,68,66,56,33,36,21,25,33,9,-70,77,111
17,-39,33,-6,35,6,-4,47,74,66,55,0,34,22,42,60,34,-62,96,88
29,-26,29,-14,51,35,9,6,67,37,44,-36,23,41,50,57,47,-55,114,74
11,-10,37,-20,56,21,7,-25,65,16,39,-34,30,49,34,33,53,-44,112,82
-33,1,32,-28,36,-11,-4,-4,63,45,70,-14,37,45,13,16,38,-21,92,96
-46,3,5,-23,-2,-31,-7,55,67,93,132,-9,36,52,7,18,-2,-4,70,93
-7,-2,-18,-1,-36,-39,6,103,78,109,174,-6,46,71,25,39,-33,-6,51,66
29,7,-10,21,-46,-37,23,108,80,93,154,1,46,86,61,66,-30,-1,29,32
41,31,18,21,-26,-30,24,70,75,76,111,-5,16,88,86,80,-5,20,10,15
49,37,35,0,-2,-25,10,28,78,74,85,-11,-6,74,85,80,17,36,13,23
51,26,40,-22,12,-23,6,26,84,80,68,8,2,57,61,77,21,32,18,43
41,23,51,-19,24,-29,14,47,69,73,64,43,10,62,43,68,12,14,5,49
29,19,54,0,34,-40,13,57,36,45,78,58,1,96,56,59,0,4,-7,35
16,-3,34,12,28,-31,-3,50,30,23,88,41,-11,122,85,58,-7,23,8,15
-4,-14,8,1,17,-3,-16,21,68,27,86,22,-11,106,92,55,-12,53,33,-1
-21,8,4,-23,20,8,-4,-23,97,39,86,16,-5,49,73,36,-7,55,33,-4
-5,33,14,-24,34,-3,34,-52,84,35,105,7,-6,-8,53,26,10,42,10,17
33,39,9,9,41,-7,64,-40,49,26,122,-2,-12,-22,49,41,26,41,-6,30
46,33,-7,33,32,8,61,-1,22,19,95,3,-10,9,54,54,30,51,-8,15
34,25,-3,16,20,27,34,48,25,10,35,12,6,45,50,42,27,48,0,4
28,16,20,-20,28,25,8,88,36,7,5,25,32,59,51,21,26,34,17,8
33,7,32,-33,62,-2,13,89,34,5,3,36,48,58,56,2,28,47,23,5
40,-6,20,-26,81,-23,47,49,35,-11,-4,24,37,38,30,-11,26,78,11,-2
